store,item,annual_sales,weekly_mean,weekly_std,coefficient_of_variation,abc_class,xyz_class,segment,xyz_low_threshold,xyz_high_threshold,demand_share,forecast_daily_mean,forecast_daily_std,forecast_total,residual_std,residual_bias,service_level,lead_time_days,review_period_days,safety_stock,reorder_point,target_inventory_position,target_coverage_days,operational_priority
2,28,46133,870.433962264151,194.83637212108584,0.2238382009064563,A,Y,AY,0.21981094050547123,0.2257762812282148,0.004297942748752998,96.86952886666667,14.998423094095756,8718.257598,13.76710737850945,5.029134425410518,0.95,7,7,60.0,739.0,1417.0,14.627922903913259,high
2,13,44305,835.9433962264151,186.28064178445499,0.222838822132403,A,Y,AY,0.21981094050547123,0.2257762812282148,0.004127638642262623,94.26457593333333,14.651794594209754,8483.811834,11.933659245624291,3.2411170959472657,0.95,7,7,52.0,712.0,1372.0,14.554778254880375,high
8,28,44486,839.3584905660377,185.3379547599489,0.2208090545852019,A,Y,AY,0.21981094050547123,0.2257762812282148,0.0041445013574019866,94.02027422222221,14.8753505046836,8461.82468,12.432250342049054,4.246300986961082,0.95,7,7,55.0,714.0,1372.0,14.592597302547754,high
2,18,44776,844.8301886792453,191.47652355084568,0.22664498276297168,A,Z,AZ,0.21981094050547123,0.2257762812282148,0.004171518967293786,92.62507181111111,14.585876745455645,8336.256463,12.877056927901005,2.8150396558973525,0.95,7,7,57.0,706.0,1354.0,14.618072337489696,high
2,25,42239,796.9622641509434,178.67750948223738,0.22419820551051353,A,Y,AY,0.21981094050547123,0.2257762812282148,0.003935161462826564,92.50013947777778,14.096819113989925,8325.012553,12.745113528634732,0.6989019605848524,0.95,7,7,56.0,704.0,1352.0,14.616194176926665,high
8,45,40385,761.9811320754717,168.98901768663478,0.22177585582249953,A,Y,AY,0.21981094050547123,0.2257762812282148,0.0037624350878631306,91.29510643333334,14.58573042127374,8216.559579,12.393113865907631,-0.7406507703993056,0.95,7,7,54.0,694.0,1333.0,14.60100165361437,high
3,18,39264,740.8301886792453,166.28193572375991,0.22445350940707198,A,Y,AY,0.21981094050547123,0.2257762812282148,0.003657998051005521,88.49565009999999,13.521500141397052,7964.608509,11.297357806382113,-0.9335748743127894,0.95,7,7,50.0,670.0,1289.0,14.565687675534688,high
8,36,39037,736.5471698113207,162.52355640357726,0.22065600556880896,A,Y,AY,0.21981094050547123,0.2257762812282148,0.003636849783952285,87.79336177777779,13.892282152981219,7901.40256,11.794621232750675,0.8044505931712963,0.95,7,7,52.0,667.0,1282.0,14.602470779567518,high
3,45,37853,714.2075471698113,159.02640788083994,0.22266133774560848,A,Y,AY,0.21981094050547123,0.2257762812282148,0.003526543404256112,87.06602727777778,13.714379467863678,7835.942455,12.285331857004486,-0.8533537970648871,0.95,7,7,54.0,664.0,1273.0,14.6210874643285,high
4,13,36061,680.3962264150944,150.08373811650839,0.22058284906616413,A,Y,AY,0.21981094050547123,0.2257762812282148,0.0033595932079592016,86.15437296666667,13.209985444057788,7753.893567,11.404878093067932,-0.35409633495189524,0.95,7,7,50.0,654.0,1257.0,14.59008935607176,high
10,18,38765,731.4150943396227,161.98818023859081,0.2214722959537034,A,Y,AY,0.21981094050547123,0.2257762812282148,0.003611509129157218,85.91316667777778,13.711206405830128,7732.185001,11.744033561216437,-1.6271064475730614,0.95,7,7,52.0,654.0,1255.0,14.607772574685193,high
2,10,38746,731.0566037735849,161.46628787153395,0.22086701226426725,A,Y,AY,0.21981094050547123,0.2257762812282148,0.0036097390098884454,85.62213955555555,13.76920695152134,7705.99256,12.429059054511134,-0.03352197717737266,0.95,7,7,55.0,655.0,1254.0,14.645744739727599,high
